headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.subject.0topic|metadata.mods.subject.1topic|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modsnote|metadata.modstypeOfResource
2019-05-22T02:01:56Z|yrb_27125|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A27125|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A27125/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1949|University of Tennessee (Knoxville campus)  -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1949|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_44320|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A44320|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A44320/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1996|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1996|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_26692|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A26692|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A26692/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1948|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1948|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries"|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_31051|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A31051|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A31051/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1959|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1959|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_18108|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A18108|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A18108/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1924|University of Tennessee (Knoxville campus) -- Students -- Periodicals|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1924|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_26291|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A26291|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A26291/datastream/TN/view|preview|creator|text|Universoty of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1947|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville --1897.|    |The Volunteer.1947|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries"|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_20156|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A20156|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A20156/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1930|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1930|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_19129|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A19129|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A19129/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1927|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee --Knoxville -- 1897.|    |The Volunteer.1927|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_11550|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A11550|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A11550/datastream/TN/view|preview|creator|text|University of Tennesee (Knoxville campus)|The students of the University of Tennessee, 1897-|1904|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1904|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_48152|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A48152|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A48152/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|2008|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |Evolve: The Volunteer Annual of the University of Tennessee.2008|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
